,sumStudentPop,key1,UID,Province_State,POPESTIMATE2019,Long_,Lat,Country_Region,Combined_Key,Admin2,date,case_count,month,pct_change,ratioStudent,casesPerThousand
2618,18422.0,"Butler,Ohio",84039017,Ohio,383134.0,-84.57388716,39.44012838,US,"Butler, Ohio, US",Butler,2020-09-01,4147,9,0.5637254901960784,4.808239414930546,10.823889291997057
26918,18422.0,"Butler,Ohio",84039017,Ohio,383134.0,-84.57388716,39.44012838,US,"Butler, Ohio, US",Butler,2020-10-01,6312,10,0.522064142753798,4.808239414930546,16.47465377648551
24128,18422.0,"Butler,Ohio",84039017,Ohio,383134.0,-84.57388716,39.44012838,US,"Butler, Ohio, US",Butler,2020-11-01,9565,11,0.5153675538656528,4.808239414930546,24.965155794056386
8201,10381.0,"Clark,Ohio",84039023,Ohio,134083.0,-83.78498252,39.91592258,US,"Clark, Ohio, US",Clark,2020-07-01,739,7,1.5050847457627117,7.742219371583273,5.511511526442576
5411,10381.0,"Clark,Ohio",84039023,Ohio,134083.0,-83.78498252,39.91592258,US,"Clark, Ohio, US",Clark,2020-08-01,1067,8,0.4438430311231394,7.742219371583273,7.957757508408971
2621,10381.0,"Clark,Ohio",84039023,Ohio,134083.0,-83.78498252,39.91592258,US,"Clark, Ohio, US",Clark,2020-09-01,1433,9,0.3430178069353327,7.742219371583273,10.687410037066593
26921,10381.0,"Clark,Ohio",84039023,Ohio,134083.0,-83.78498252,39.91592258,US,"Clark, Ohio, US",Clark,2020-10-01,1895,10,0.322400558269365,7.742219371583273,14.133036999470477
24131,10381.0,"Clark,Ohio",84039023,Ohio,134083.0,-83.78498252,39.91592258,US,"Clark, Ohio, US",Clark,2020-11-01,2924,11,0.5430079155672822,7.742219371583273,21.80738796118822
8203,1282.0,"Clinton,Ohio",84039027,Ohio,41968.0,-83.80852286,39.41485808,US,"Clinton, Ohio, US",Clinton,2020-07-01,62,7,0.44186046511627897,3.054708349218452,1.4773160503240563
5413,1282.0,"Clinton,Ohio",84039027,Ohio,41968.0,-83.80852286,39.41485808,US,"Clinton, Ohio, US",Clinton,2020-08-01,144,8,1.3225806451612905,3.054708349218452,3.431185665268776
2623,1282.0,"Clinton,Ohio",84039027,Ohio,41968.0,-83.80852286,39.41485808,US,"Clinton, Ohio, US",Clinton,2020-09-01,249,9,0.7291666666666667,3.054708349218452,5.933091879527259
26923,1282.0,"Clinton,Ohio",84039027,Ohio,41968.0,-83.80852286,39.41485808,US,"Clinton, Ohio, US",Clinton,2020-10-01,314,10,0.2610441767068272,3.054708349218452,7.481890964544415
24133,1282.0,"Clinton,Ohio",84039027,Ohio,41968.0,-83.80852286,39.41485808,US,"Clinton, Ohio, US",Clinton,2020-11-01,575,11,0.8312101910828025,3.054708349218452,13.700914982844072
8204,4920.0,"Columbiana,Ohio",84039029,Ohio,101883.0,-80.78094576,40.76932373,US,"Columbiana, Ohio, US",Columbiana,2020-07-01,1209,7,0.3817142857142857,4.829068637554842,11.86655281057684
5414,4920.0,"Columbiana,Ohio",84039029,Ohio,101883.0,-80.78094576,40.76932373,US,"Columbiana, Ohio, US",Columbiana,2020-08-01,1566,8,0.29528535980148884,4.829068637554842,15.370572126851387
2624,4920.0,"Columbiana,Ohio",84039029,Ohio,101883.0,-80.78094576,40.76932373,US,"Columbiana, Ohio, US",Columbiana,2020-09-01,1841,9,0.17560664112388258,4.829068637554842,18.069746670200132
26924,4920.0,"Columbiana,Ohio",84039029,Ohio,101883.0,-80.78094576,40.76932373,US,"Columbiana, Ohio, US",Columbiana,2020-10-01,1966,10,0.06789788158609444,4.829068637554842,19.296644189904104
24134,4920.0,"Columbiana,Ohio",84039029,Ohio,101883.0,-80.78094576,40.76932373,US,"Columbiana, Ohio, US",Columbiana,2020-11-01,2269,11,0.15412004069176,4.829068637554842,22.27064377766654
8207,64689.0,"Cuyahoga,Ohio",84039035,Ohio,1235072.0,-81.65918339,41.424119,US,"Cuyahoga, Ohio, US",Cuyahoga,2020-07-01,7013,7,0.5556787932564331,5.2376703544408745,5.678211472691471
5417,64689.0,"Cuyahoga,Ohio",84039035,Ohio,1235072.0,-81.65918339,41.424119,US,"Cuyahoga, Ohio, US",Cuyahoga,2020-08-01,12518,8,0.7849707685726508,5.2376703544408745,10.135441496528138
2627,64689.0,"Cuyahoga,Ohio",84039035,Ohio,1235072.0,-81.65918339,41.424119,US,"Cuyahoga, Ohio, US",Cuyahoga,2020-09-01,15804,9,0.26250199712414113,5.2376703544408745,12.796015131101669
26927,64689.0,"Cuyahoga,Ohio",84039035,Ohio,1235072.0,-81.65918339,41.424119,US,"Cuyahoga, Ohio, US",Cuyahoga,2020-10-01,17704,10,0.12022272842318404,5.2376703544408745,14.334386983107057
24137,64689.0,"Cuyahoga,Ohio",84039035,Ohio,1235072.0,-81.65918339,41.424119,US,"Cuyahoga, Ohio, US",Cuyahoga,2020-11-01,21777,11,0.23006100316312694,5.2376703544408745,17.632170432169136
8209,605.0,"Defiance,Ohio",84039039,Ohio,38087.0,-84.49076944,41.32398837,US,"Defiance, Ohio, US",Defiance,2020-07-01,48,7,0.41176470588235303,1.5884685063144905,1.2602725339354635
5419,605.0,"Defiance,Ohio",84039039,Ohio,38087.0,-84.49076944,41.32398837,US,"Defiance, Ohio, US",Defiance,2020-08-01,129,8,1.6875,1.5884685063144905,3.3869824349515585
2629,605.0,"Defiance,Ohio",84039039,Ohio,38087.0,-84.49076944,41.32398837,US,"Defiance, Ohio, US",Defiance,2020-09-01,213,9,0.6511627906976745,1.5884685063144905,5.59245936933862
26929,605.0,"Defiance,Ohio",84039039,Ohio,38087.0,-84.49076944,41.32398837,US,"Defiance, Ohio, US",Defiance,2020-10-01,350,10,0.6431924882629108,1.5884685063144905,9.189487226612755
24139,605.0,"Defiance,Ohio",84039039,Ohio,38087.0,-84.49076944,41.32398837,US,"Defiance, Ohio, US",Defiance,2020-11-01,607,11,0.7342857142857142,1.5884685063144905,15.937196418725549
8210,1603.0,"Delaware,Ohio",84039041,Ohio,209177.0,-83.00457058,40.27942393,US,"Delaware, Ohio, US",Delaware,2020-07-01,518,7,0.5370919881305638,0.7663366431299808,2.4763716852235187
5420,1603.0,"Delaware,Ohio",84039041,Ohio,209177.0,-83.00457058,40.27942393,US,"Delaware, Ohio, US",Delaware,2020-08-01,1180,8,1.2779922779922779,0.7663366431299808,5.6411555763779
2630,1603.0,"Delaware,Ohio",84039041,Ohio,209177.0,-83.00457058,40.27942393,US,"Delaware, Ohio, US",Delaware,2020-09-01,1674,9,0.4186440677966101,0.7663366431299808,8.002791893946275
26930,1603.0,"Delaware,Ohio",84039041,Ohio,209177.0,-83.00457058,40.27942393,US,"Delaware, Ohio, US",Delaware,2020-10-01,2360,10,0.4097968936678613,0.7663366431299808,11.2823111527558
24140,1603.0,"Delaware,Ohio",84039041,Ohio,209177.0,-83.00457058,40.27942393,US,"Delaware, Ohio, US",Delaware,2020-11-01,3227,11,0.36737288135593227,0.7663366431299808,15.427126309297869
8211,2457.0,"Erie,Ohio",84039043,Ohio,74266.0,-82.62904521,41.36796058,US,"Erie, Ohio, US",Erie,2020-07-01,229,7,0.3085714285714285,3.3083779926211183,3.083510623973285
5421,2457.0,"Erie,Ohio",84039043,Ohio,74266.0,-82.62904521,41.36796058,US,"Erie, Ohio, US",Erie,2020-08-01,507,8,1.2139737991266375,3.3083779926211183,6.826811730805483
2631,2457.0,"Erie,Ohio",84039043,Ohio,74266.0,-82.62904521,41.36796058,US,"Erie, Ohio, US",Erie,2020-09-01,774,9,0.5266272189349113,3.3083779926211183,10.421996606791803
26931,2457.0,"Erie,Ohio",84039043,Ohio,74266.0,-82.62904521,41.36796058,US,"Erie, Ohio, US",Erie,2020-10-01,983,10,0.27002583979328176,3.3083779926211183,13.23620499286349
